genome	S_alg	k	d	M_alg	kmer_count	l	o	z	r	S_xz_bytes	M_xz_bytes	enc1_xz_bytes	enc2_xz_bytes	pref
yeast	pseudosimplitigs	19	2	default	11479729	11634971	11479729	155242	12561	3005240	33380	3038620	3036600	yeast.S_pseudosimplitigs.k_19.d_2.M_default
yeast	pseudosimplitigs	19	2	ones	11479729	11634971	11493725	141246	9829	3005240	27036	3032276	3034000	yeast.S_pseudosimplitigs.k_19.d_2.M_ones
yeast	pseudosimplitigs	19	2	runs	11479729	11634971	11491809	143162	8924	3005240	25504	3030744	3034408	yeast.S_pseudosimplitigs.k_19.d_2.M_runs
yeast	pseudosimplitigs	19	2	zeros	11479729	11634971	11479729	155242	12856	3005240	34328	3039568	3036580	yeast.S_pseudosimplitigs.k_19.d_2.M_zeros
yeast	pseudosimplitigs	19	3	default	11479729	11606952	11479729	127223	13114	2998504	35544	3034048	3030764	yeast.S_pseudosimplitigs.k_19.d_3.M_default
yeast	pseudosimplitigs	19	3	ones	11479729	11606952	11494305	112647	8294	2998504	23568	3022072	3022084	yeast.S_pseudosimplitigs.k_19.d_3.M_ones
yeast	pseudosimplitigs	19	3	runs	11479729	11606952	11493181	113771	7715	2998504	22524	3021028	3021052	yeast.S_pseudosimplitigs.k_19.d_3.M_runs
yeast	pseudosimplitigs	19	3	zeros	11479729	11606952	11479729	127223	13220	2998504	35940	3034444	3030004	yeast.S_pseudosimplitigs.k_19.d_3.M_zeros
yeast	pseudosimplitigs	19	4	default	11479729	11596616	11479729	116887	13633	2996688	37228	3033916	3028680	yeast.S_pseudosimplitigs.k_19.d_4.M_default
yeast	pseudosimplitigs	19	4	ones	11479729	11596616	11495258	101358	7928	2996688	22872	3019560	3017740	yeast.S_pseudosimplitigs.k_19.d_4.M_ones
yeast	pseudosimplitigs	19	4	runs	11479729	11596616	11494575	102041	7521	2996688	22212	3018900	3017044	yeast.S_pseudosimplitigs.k_19.d_4.M_runs
yeast	pseudosimplitigs	19	4	zeros	11479729	11596616	11479729	116887	13666	2996688	37348	3034036	3028952	yeast.S_pseudosimplitigs.k_19.d_4.M_zeros
